모델
ioniq6
ioniq5
ioniq_electric
kona_electric
nexo
g80_ev
gv70_ev
gv60
kia_ev6
kia_ev9
niro
niro_plus
soul_ev
ray_ev
Korando_e-motion
DANIGO
MaiV_M1
evz
CEVO_C-se
CEVO_C-se_VAN
tesla_model3
tesla_modelY
tesla_modelS
bolt_euv
bolt_ev
renault_zoe
renault_sm3_ze
benz_eqa
benz_eqb
benz_eqc
benz_eqe
benz_eqs
bmw_iX2
bmw_i3
bmw_i4
bmw_i5
Volkswagen_ID4
audi_etron
audi_etron_GT
audi_Q4_etron
porsche_taycan_cross_turismo
volvo_C40
Volvo_XC40_Recharge
polestar2
polestar3
peugot_e_208
peugot_e_2008
